input_img,input_category,target_prompt,model0,model1
https://raw.githubusercontent.com/omriav/public/master/amt_data/000/inp.jpg,cat,a photo of a cat next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/000/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/000/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/001/inp.jpg,giraffe,a photo of a giraffe wearing a red hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/001/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/001/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/002/inp.jpg,cat,a photo of a cat screaming,https://raw.githubusercontent.com/omriav/public/master/amt_data/002/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/002/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/003/inp.jpg,person,a photo of a person wearing a green hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/003/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/003/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/004/inp.jpg,dog,a photo of a dog next to a pink ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/004/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/004/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/005/inp.jpg,person,a photo of a person next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/005/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/005/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/006/inp.jpg,person,a photo of a person in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/006/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/006/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/007/inp.jpg,bear,a photo of a bear with a long hair,https://raw.githubusercontent.com/omriav/public/master/amt_data/007/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/007/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/008/inp.jpg,sheep,a photo of a sheep next to an apple,https://raw.githubusercontent.com/omriav/public/master/amt_data/008/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/008/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/009/inp.jpg,sheep,a photo of a sheep next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/009/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/009/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/010/inp.jpg,cat,a photo of a cat next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/010/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/010/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/011/inp.jpg,cat,a photo of a cat next to a red ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/011/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/011/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/012/inp.jpg,cat,a photo of a cat wearing a blue hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/012/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/012/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/013/inp.jpg,cat,a photo of a cat in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/013/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/013/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/014/inp.jpg,cat,a photo of a cat screaming,https://raw.githubusercontent.com/omriav/public/master/amt_data/014/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/014/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/015/inp.jpg,dog,a photo of a dog wearing a green hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/015/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/015/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/016/inp.jpg,person,a photo of a person in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/016/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/016/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/017/inp.jpg,elephant,a photo of a elephant next to an apple,https://raw.githubusercontent.com/omriav/public/master/amt_data/017/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/017/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/018/inp.jpg,elephant,a photo of a elephant next to a purple ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/018/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/018/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/019/inp.jpg,elephant,a photo of a elephant next to a pink ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/019/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/019/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/020/inp.jpg,elephant,a photo of a elephant next to a red ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/020/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/020/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/021/inp.jpg,elephant,a photo of a elephant wearing a straw hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/021/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/021/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/022/inp.jpg,person,a photo of a person wearing a blue hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/022/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/022/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/023/inp.jpg,person,a photo of a person wearing a red hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/023/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/023/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/024/inp.jpg,person,a photo of a person wearing a yellow hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/024/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/024/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/025/inp.jpg,person,a photo of a person wearing a blue sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/025/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/025/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/026/inp.jpg,person,a photo of a person wearing a green sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/026/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/026/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/027/inp.jpg,giraffe,a photo of a giraffe next to a black ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/027/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/027/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/028/inp.jpg,giraffe,a photo of a giraffe next to a yellow ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/028/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/028/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/029/inp.jpg,giraffe,a photo of a giraffe in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/029/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/029/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/030/inp.jpg,person,a photo of a person wearing a purple hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/030/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/030/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/031/inp.jpg,person,a photo of a person wearing a purple sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/031/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/031/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/032/inp.jpg,person,a photo of a person wearing a red sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/032/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/032/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/033/inp.jpg,person,a photo of a person screaming,https://raw.githubusercontent.com/omriav/public/master/amt_data/033/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/033/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/034/inp.jpg,cow,a photo of a cow next to a red ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/034/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/034/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/035/inp.jpg,person,a photo of a person next to a red ball,https://raw.githubusercontent.com/omriav/public/master/amt_data/035/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/035/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/036/inp.jpg,person,a photo of a person with a long hair,https://raw.githubusercontent.com/omriav/public/master/amt_data/036/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/036/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/037/inp.jpg,person,a photo of a person wearing a yellow hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/037/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/037/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/038/inp.jpg,person,a photo of a person next to an orange,https://raw.githubusercontent.com/omriav/public/master/amt_data/038/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/038/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/039/inp.jpg,sheep,a photo of a sheep wearing a yellow hat,https://raw.githubusercontent.com/omriav/public/master/amt_data/039/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/039/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/040/inp.jpg,cat,a photo of a cat wearing a purple sunglasses,https://raw.githubusercontent.com/omriav/public/master/amt_data/040/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/040/sdedit.jpg
https://raw.githubusercontent.com/omriav/public/master/amt_data/041/inp.jpg,bird,a photo of a bird in a dark environment,https://raw.githubusercontent.com/omriav/public/master/amt_data/041/base.jpg,https://raw.githubusercontent.com/omriav/public/master/amt_data/041/sdedit.jpg
